id_2,parto,pesaje,del,lvd,raza,lactancia
D299,8/8/2002,27/2/2002,19,22.4,,5
D299,8/8/2002,9/11/2002,34,17.0,,5
D299,8/8/2002,10/11/2002,64,17.0,,5
D299,8/8/2002,11/12/2002,96,18.6,,5
D299,8/8/2002,26/3/2003,202,8.0,,5
D299,8/8/2002,28/3/2003,232,7.4,,5
D299,25/8/2003,9/11/2003,17,13.6,,6
D299,25/8/2003,10/1/2003,37,15.8,,6
D299,25/8/2003,25/3/2003,92,14.2,,6
D299,25/8/2003,16/3/2003,113,13.2,,6
D299,25/8/2003,1/9/2004,137,13.6,,6
D299,25/8/2003,29/4/2004,157,11.0,,6
D299,25/8/2003,27/4/2004,186,10.2,,6
D299,25/8/2003,1/5/2004,219,9.8,,6
D299,25/8/2003,18/4/2004,267,9.6,,6
D299,25/8/2003,6/11/2004,291,11.8,,6
D299,25/8/2003,7/8/2004,318,8.4,,6
D299,25/8/2003,8/3/2004,344,8.4,,6
D299,27/11/2004,1/5/2004,34,11.6,,7
D299,27/11/2004,31/5/2005,65,13.2,,7
D299,27/11/2004,15/5/2005,80,14.8,,7
D299,27/11/2004,31/5/2005,124,11.4,,7
D299,27/11/2004,15/5/2005,139,12.0,,7
D299,27/11/2004,31/5/2005,185,10.6,,7
D299,27/11/2004,15/5/2005,200,10.0,,7
D299,16/10/2005,31/5/2005,15,15.6,,8
D299,16/10/2005,15/5/2005,30,16.6,,8
D299,16/10/2005,12/8/2005,53,19.2,,8
D299,16/10/2005,1/4/2006,80,17.0,,8
D299,16/10/2005,1/7/2006,107,15.6,,8
D299,16/10/2005,27/6/2006,134,13.6,,8
D299,16/10/2005,25/6/2006,160,8.0,,8
D299,16/10/2005,6/7/2006,234,8.6,,8
D299,16/10/2005,28/6/2006,285,7.6,,8
D299,16/10/2005,17/6/2006,305,4.4,,8
D299,19/12/2006,1/4/2007,16,12.8,,9
D299,19/12/2006,23/7/2007,35,13.8,,9
D299,19/12/2006,13/7/2007,56,15.0,,9
D299,19/12/2006,3/9/2007,80,13.6,,9
D299,19/12/2006,19/7/2007,121,13.6,,9
D299,19/12/2006,5/10/2007,142,11.2,,9
D299,19/12/2006,21/7/2007,184,9.8,,9
D299,19/12/2006,7/6/2007,199,8.0,,9
D299,19/12/2006,8/2/2007,226,8.2,,9
D299,19/12/2006,25/7/2007,249,6.0,,9
D299,19/12/2006,27/7/2007,282,6.6,,9
D299,19/12/2006,16/7/2007,301,5.4,,9
D299,18/3/2008,20/8/2008,2,6.2,,10
D299,18/3/2008,4/9/2008,22,10.0,,10
D299,18/3/2008,5/8/2008,51,13.8,,10
D299,18/3/2008,30/8/2008,73,14.6,,10
D355,17/6/1999,10/7/1999,112,17.6,,2
D355,17/6/1999,11/9/1999,145,16.8,,2
D355,17/6/1999,12/9/1999,175,12.2,,2
D355,14/5/2000,31/12/1999,17,13.0,,3
D355,14/5/2000,21/12/1999,38,18.2,,3
D355,14/5/2000,31/12/1999,78,20.4,,3
D355,14/5/2000,29/12/1999,107,22.2,,3
D355,14/5/2000,27/12/1999,136,18.6,,3
D355,14/5/2000,31/12/1999,170,17.0,,3
D355,14/5/2000,29/12/1999,199,15.6,,3
D355,14/5/2000,12/10/2000,210,14.0,,3
D355,6/5/2001,29/1/2001,24,12.6,,4
D355,6/5/2001,22/1/2001,78,22.2,,4
D355,6/5/2001,20/1/2001,107,23.0,,4
D355,6/5/2001,18/1/2001,135,21.4,,4
D355,6/5/2001,27/1/2001,175,18.2,,4
D355,6/5/2001,15/1/2001,193,17.6,,4
D355,6/5/2001,18/2/2002,227,14.2,,4
D355,6/5/2001,15/2/2002,255,14.0,,4
D355,6/5/2001,21/2/2002,289,13.6,,4
D355,6/5/2001,18/2/2002,317,10.0,,4
D355,20/7/2002,25/2/2002,5,15.8,,5
D355,20/7/2002,27/2/2002,38,20.0,,5
D355,20/7/2002,9/11/2002,53,15.6,,5
D355,20/7/2002,10/11/2002,83,14.4,,5
D355,20/7/2002,11/12/2002,115,9.4,,5
D355,7/3/2003,24/3/2003,21,9.0,,6
D355,7/3/2003,20/3/2003,48,9.4,,6
D355,7/3/2003,9/11/2003,70,11.2,,6
D355,7/3/2003,10/1/2003,90,12.2,,6
D355,7/3/2003,25/3/2003,145,8.8,,6
D355,7/3/2003,16/3/2003,166,10.4,,6
D355,7/3/2003,1/9/2004,190,11.0,,6
D355,7/3/2003,29/4/2004,210,9.8,,6
D355,7/3/2003,27/4/2004,239,7.2,,6
D355,7/3/2003,1/5/2004,272,6.8,,6
D355,7/3/2003,18/4/2004,320,7.4,,6
D355,7/3/2003,6/11/2004,344,5.2,,6
D355,16/9/2004,22/4/2004,6,8.4,,7
D355,16/9/2004,1/5/2004,45,11.6,,7
D355,16/9/2004,30/4/2004,75,10.2,,7
D355,16/9/2004,31/5/2005,137,10.2,,7
D355,16/9/2004,15/5/2005,152,11.6,,7
D355,16/9/2004,31/5/2005,196,8.6,,7
D355,16/9/2004,15/5/2005,211,10.8,,7
D355,16/9/2004,31/5/2005,257,7.8,,7
D355,16/9/2004,15/5/2005,272,5.8,,7
D355,16/9/2004,26/5/2005,313,6.4,,7
D355,16/9/2004,15/5/2005,333,6.0,,7
D355,16/9/2004,15/5/2005,364,6.6,,7
D355,16/9/2004,30/5/2005,379,6.0,,7
D355,2/6/2006,27/6/2006,21,13.4,,8
D355,2/6/2006,25/6/2006,47,15.0,,8
D355,2/6/2006,6/7/2006,121,13.2,,8
D355,2/6/2006,28/6/2006,172,10.0,,8
D355,2/6/2006,17/6/2006,192,8.4,,8
D355,2/6/2006,9/12/2006,218,10.6,,8
D355,2/6/2006,10/7/2006,243,8.8,,8
D355,2/6/2006,1/7/2006,267,8.6,,8
D355,2/6/2006,28/6/2006,295,5.2,,8
D355,2/6/2006,14/6/2006,311,7.2,,8
D355,2/6/2006,1/4/2007,332,9.0,,8
D355,29/1/2007,13/7/2007,15,9.8,,9
D355,29/1/2007,3/9/2007,39,10.0,,9
D355,29/1/2007,19/7/2007,80,10.0,,9
D355,29/1/2007,5/10/2007,101,9.6,,9
D355,29/1/2007,21/7/2007,143,8.4,,9
D355,29/1/2007,7/6/2007,158,7.8,,9
D355,29/1/2007,8/2/2007,185,7.4,,9
D355,29/1/2007,25/7/2007,208,6.8,,9
D355,29/1/2007,27/7/2007,241,6.6,,9
D355,29/1/2007,16/7/2007,260,6.6,,9
D355,17/3/2008,20/8/2008,3,10.2,,10
D355,17/3/2008,4/9/2008,23,10.2,,10
D355,17/3/2008,5/8/2008,52,7.8,,10
D355,17/3/2008,30/8/2008,74,10.0,,10
E145,5/3/1999,10/7/1999,157,21.4,,2
E145,5/3/1999,11/9/1999,190,19.8,,2
E145,5/3/1999,12/9/1999,220,20.0,,2
E145,25/4/2000,30/12/1999,5,22.8,,3
E145,25/4/2000,31/12/1999,36,25.2,,3
E145,25/4/2000,31/12/1999,97,23.0,,3
E145,25/4/2000,29/12/1999,126,23.0,,3
E145,25/4/2000,27/12/1999,155,20.4,,3
E145,25/4/2000,31/12/1999,189,13.4,,3
E145,25/4/2000,29/12/1999,218,15.2,,3
E145,25/4/2000,12/10/2000,229,14.0,,3
E145,25/4/2000,1/8/2001,258,10.0,,3
E145,4/9/2001,25/1/2001,16,15.4,,4
E145,4/9/2001,31/1/2001,52,22.6,,4
E145,4/9/2001,29/1/2001,81,18.2,,4
E145,4/9/2001,22/1/2001,135,17.4,,4
E145,4/9/2001,20/1/2001,164,15.0,,4
E145,4/9/2001,18/1/2001,192,15.0,,4
E145,26/2/2002,21/2/2002,23,18.2,,5
E145,26/2/2002,18/2/2002,51,29.8,,5
E145,26/2/2002,3/3/2002,94,22.4,,5
E145,26/2/2002,27/2/2002,121,18.0,,5
E145,26/2/2002,25/2/2002,149,19.8,,5
E145,26/2/2002,27/2/2002,182,18.8,,5
E145,26/2/2002,9/11/2002,197,19.2,,5
E145,26/2/2002,10/11/2002,227,18.6,,5
E145,26/2/2002,11/12/2002,259,14.8,,5
E145,21/7/2003,24/3/2003,3,8.2,,6
E145,21/7/2003,20/3/2003,30,10.8,,6
E145,21/7/2003,9/11/2003,52,18.2,,6
E145,21/7/2003,10/1/2003,72,16.2,,6
E145,21/7/2003,25/3/2003,127,13.0,,6
E145,21/7/2003,16/3/2003,148,13.6,,6
E145,21/7/2003,1/9/2004,172,14.2,,6
E145,21/7/2003,29/4/2004,192,13.6,,6
E145,21/7/2003,27/4/2004,221,9.4,,6
E145,21/7/2003,1/5/2004,254,8.0,,6
E145,17/6/2004,7/8/2004,21,17.4,,7
E145,17/6/2004,8/3/2004,47,17.6,,7
E145,17/6/2004,22/4/2004,97,15.0,,7
E145,17/6/2004,1/5/2004,136,16.8,,7
E145,17/6/2004,30/4/2004,166,9.4,,7
E145,17/6/2004,1/5/2004,197,12.8,,7
E145,17/6/2004,31/5/2005,228,13.2,,7
E145,17/6/2004,15/5/2005,243,13.6,,7
E145,17/6/2004,31/5/2005,287,12.2,,7
E145,17/6/2004,15/5/2005,302,11.6,,7
E145,17/6/2004,31/5/2005,348,9.6,,7
E145,17/6/2004,15/5/2005,363,5.8,,7
E145,3/3/2006,25/6/2006,22,16.0,,8
E145,3/3/2006,6/7/2006,96,17.8,,8
E145,3/3/2006,28/6/2006,147,17.4,,8
E145,3/3/2006,17/6/2006,167,20.0,,8
E145,3/3/2006,9/12/2006,193,19.2,,8
E145,3/3/2006,10/7/2006,218,13.4,,8
E145,3/3/2006,1/7/2006,242,11.0,,8
E145,3/3/2006,28/6/2006,270,7.8,,8
E145,3/3/2006,14/6/2006,286,5.0,,8
E145,24/3/2007,19/7/2007,26,12.9,,9
E145,24/3/2007,5/10/2007,47,13.2,,9
E145,24/3/2007,21/7/2007,89,10.6,,9
E145,24/3/2007,7/6/2007,104,11.2,,9
E145,24/3/2007,8/2/2007,131,10.8,,9
E145,24/3/2007,25/7/2007,154,9.0,,9
E212,15/12/1999,3/10/2000,86,14.6,,2
E212,15/12/1999,30/12/1999,137,15.2,,2
E212,15/12/1999,31/12/1999,168,15.2,,2
E212,15/12/1999,21/12/1999,189,13.6,,2
E212,15/12/1999,31/12/1999,229,11.4,,2
E212,15/12/1999,29/12/1999,258,7.8,,2
E212,15/12/1999,27/12/1999,287,7.8,,2
E212,15/12/2000,1/8/2001,24,16.0,,3
E212,15/12/2000,2/1/2001,48,13.8,,3
E212,15/12/2000,3/9/2001,84,16.2,,3
E212,15/12/2000,25/1/2001,131,15.8,,3
E212,15/12/2000,31/1/2001,167,13.6,,3
E212,15/12/2000,22/1/2001,250,10.2,,3
E212,15/12/2000,20/1/2001,279,7.8,,3
E212,2/2/2002,15/2/2002,13,23.6,,4
E212,2/2/2002,21/2/2002,47,19.2,,4
E212,2/2/2002,18/2/2002,75,23.6,,4
E212,2/2/2002,3/3/2002,118,20.0,,4
E212,2/2/2002,27/2/2002,145,12.8,,4
E212,2/2/2002,25/2/2002,173,10.8,,4
E212,2/2/2002,27/2/2002,206,10.6,,4
E212,2/2/2002,9/11/2002,221,8.2,,4
E212,2/2/2002,10/11/2002,251,8.2,,4
E212,2/2/2002,11/12/2002,283,6.6,,4
E212,14/2/2003,30/3/2003,75,11.4,,5
E212,14/2/2003,29/3/2003,104,12.6,,5
E212,14/2/2003,30/3/2003,136,11.2,,5
E212,14/2/2003,24/3/2003,160,11.2,,5
E212,14/2/2003,20/3/2003,187,11.4,,5
E212,14/2/2003,9/11/2003,209,13.8,,5
E212,14/2/2003,10/1/2003,229,13.4,,5
E212,17/10/2000,18/4/2004,75,17.0,,6
E212,17/10/2000,6/11/2004,104,20.8,,6
E212,17/10/2000,7/8/2004,136,13.8,,6
E212,17/10/2000,8/3/2004,160,11.2,,6
E212,17/10/2000,22/4/2004,187,12.2,,6
E212,17/10/2000,1/5/2004,209,13.6,,6
E212,17/10/2000,30/4/2004,229,7.4,,6
E212,17/10/2000,1/5/2004,265,6.2,,6
E212,14/5/2005,31/5/2005,17,15.6,,7
E212,14/5/2005,15/5/2005,32,21.8,,7
E212,14/5/2005,26/5/2005,73,22.0,,7
E212,14/5/2005,15/5/2005,93,23.0,,7
E212,14/5/2005,15/5/2005,124,21.2,,7
E212,14/5/2005,30/5/2005,139,21.6,,7
E212,14/5/2005,15/5/2005,154,19.6,,7
E212,14/5/2005,31/5/2005,170,16.0,,7
E212,14/5/2005,15/5/2005,185,16.2,,7
E212,14/5/2005,12/8/2005,208,18.4,,7
E212,14/5/2005,1/4/2006,235,16.6,,7
E212,14/5/2005,1/7/2006,262,13.6,,7
E212,14/5/2005,27/6/2006,289,7.6,,7
E212,14/5/2005,25/6/2006,315,6.0,,7
E212,7/4/2006,28/6/2006,24,12.2,,8
E212,7/4/2006,17/6/2006,44,16.4,,8
E212,7/4/2006,9/12/2006,70,20.4,,8
E212,7/4/2006,10/7/2006,95,19.0,,8
E212,7/4/2006,28/6/2006,147,9.2,,8
E212,7/4/2006,14/6/2006,163,11.2,,8
E212,7/4/2006,1/4/2007,184,11.4,,8
E212,7/4/2006,23/7/2007,203,10.6,,8
E212,7/4/2006,13/7/2007,224,12.0,,8
E212,7/4/2006,3/9/2007,248,10.8,,8
E212,7/4/2006,19/7/2007,289,12.4,,8
E212,7/4/2006,5/10/2007,310,11.8,,8
E212,18/10/2007,11/9/2007,22,11.0,,9
E212,18/10/2007,12/8/2007,51,9.0,,9
E212,18/10/2007,15/8/2008,89,6.8,,9
E212,18/10/2007,31/8/2008,105,10.4,,9
E212,18/10/2007,29/8/2008,134,10.6,,9
E212,18/10/2007,20/8/2008,154,10.0,,9
E212,18/10/2007,4/9/2008,174,5.0,,9
F253,6/8/2000,21/12/1999,13,15.8,,1
F253,6/8/2000,31/12/1999,53,15.6,,1
F253,6/8/2000,29/12/1999,82,14.0,,1
F253,6/8/2000,27/12/1999,111,14.8,,1
F253,6/8/2000,31/12/1999,145,14.6,,1
F253,6/8/2000,29/12/1999,174,14.8,,1
F253,6/8/2000,12/10/2000,185,13.8,,1
F253,6/8/2000,1/8/2001,214,14.6,,1
F253,6/8/2000,2/1/2001,238,16.2,,1
F253,6/8/2000,3/9/2001,274,17.6,,1
F253,6/8/2000,25/1/2001,321,8.6,,1
F253,19/7/2001,22/1/2001,34,16.2,,2
F253,19/7/2001,20/1/2001,63,17.4,,2
F253,19/7/2001,18/1/2001,91,13.0,,2
F253,19/7/2001,27/1/2001,131,12.4,,2
F253,19/7/2001,15/1/2001,149,12.4,,2
F253,19/7/2001,18/2/2002,183,12.0,,2
F253,19/7/2001,15/2/2002,211,13.8,,2
F253,19/7/2001,21/2/2002,245,11.0,,2
F253,19/7/2001,18/2/2002,273,13.0,,2
F253,19/7/2001,3/3/2002,316,11.0,,2
F253,19/7/2001,27/2/2002,343,7.4,,2
F253,19/7/2001,25/2/2002,371,7.2,,2
F253,11/1/2002,11/12/2002,11,26.6,,3
F253,11/1/2002,25/3/2003,116,15.6,,3
F253,11/1/2002,28/3/2003,147,16.0,,3
F253,11/1/2002,30/3/2003,180,13.8,,3
F253,11/1/2002,29/3/2003,209,12.0,,3
F253,11/1/2002,30/3/2003,241,11.4,,3
F253,11/1/2002,24/3/2003,265,9.4,,3
F253,11/1/2002,20/3/2003,292,8.2,,3
F253,23/10/2003,25/3/2003,33,17.2,,4
F253,23/10/2003,16/3/2003,54,17.2,,4
F253,23/10/2003,1/9/2004,78,19.8,,4
F253,23/10/2003,29/4/2004,98,15.6,,4
F253,23/10/2003,27/4/2004,127,16.4,,4
F253,23/10/2003,1/5/2004,160,14.8,,4
F253,23/10/2003,18/4/2004,208,12.6,,4
F253,23/10/2003,6/11/2004,232,14.0,,4
F253,23/10/2003,7/8/2004,259,7.4,,4
F253,28/9/2004,1/5/2004,33,10.0,,5
F253,28/9/2004,30/4/2004,63,11.2,,5
F253,28/9/2004,1/5/2004,94,9.0,,5
F253,28/9/2004,31/5/2005,125,11.2,,5
F253,28/9/2004,15/5/2005,140,12.4,,5
F253,28/9/2004,31/5/2005,184,11.2,,5
F253,28/9/2004,15/5/2005,199,11.0,,5
F253,28/9/2004,31/5/2005,245,6.4,,5
F253,28/9/2004,15/5/2005,260,9.4,,5
F253,28/9/2004,26/5/2005,301,6.0,,5
F253,28/9/2004,15/5/2005,321,7.6,,5
F253,29/12/2005,1/4/2006,6,17.8,,6
F253,29/12/2005,1/7/2006,33,25.8,,6
F253,29/12/2005,27/6/2006,60,24.8,,6
F253,29/12/2005,25/6/2006,86,24.0,,6
F253,29/12/2005,6/7/2006,160,21.0,,6
F253,29/12/2005,28/6/2006,211,16.0,,6
F253,29/12/2005,17/6/2006,231,15.4,,6
F253,29/12/2005,9/12/2006,257,15.2,,6
F253,29/12/2005,10/7/2006,282,12.2,,6
F253,18/10/2006,1/7/2006,13,23.4,,7
F253,18/10/2006,28/6/2006,41,19.4,,7
F253,18/10/2006,14/6/2006,57,21.6,,7
F253,18/10/2006,1/4/2007,78,18.6,,7
F253,18/10/2006,23/7/2007,97,18.8,,7
F253,18/10/2006,13/7/2007,118,16.8,,7
F253,18/10/2006,3/9/2007,142,19.0,,7
F253,18/10/2006,19/7/2007,183,15.4,,7
F253,18/10/2006,5/10/2007,204,15.8,,7
F253,18/10/2006,21/7/2007,246,9.0,,7
F253,18/10/2006,7/6/2007,261,5.6,,7
F253,21/9/2007,27/7/2007,6,17.0,,8
F253,21/9/2007,16/7/2007,25,20.0,,8
F253,21/9/2007,11/9/2007,49,17.8,,8
F253,21/9/2007,12/8/2007,78,17.6,,8
F253,21/9/2007,15/8/2008,116,15.4,,8
F253,21/9/2007,31/8/2008,132,17.8,,8
F253,21/9/2007,29/8/2008,161,15.4,,8
F253,21/9/2007,20/8/2008,181,16.6,,8
F253,21/9/2007,4/9/2008,201,13.2,,8
F253,21/9/2007,5/8/2008,230,10.6,,8
F253,21/9/2007,30/8/2008,252,10.6,,8
F355,20/1/2000,3/10/2000,50,13.8,,1
F355,20/1/2000,30/12/1999,101,10.2,,1
F355,20/1/2000,31/12/1999,132,9.6,,1
F355,20/1/2000,21/12/1999,153,12.2,,1
F355,20/1/2000,31/12/1999,193,13.4,,1
F355,20/1/2000,29/12/1999,222,9.2,,1
F355,20/1/2000,27/12/1999,251,9.4,,1
F355,20/1/2000,31/12/1999,285,6.0,,1
F355,20/1/2000,29/12/1999,314,10.6,,1
F355,20/1/2000,12/10/2000,325,13.8,,1
F355,20/1/2000,1/8/2001,354,10.0,,1
F355,31/3/2001,25/1/2001,25,14.2,,2
F355,31/3/2001,31/1/2001,61,13.0,,2
F355,31/3/2001,29/1/2001,90,15.8,,2
F355,31/3/2001,22/1/2001,144,10.2,,2
F355,31/3/2001,20/1/2001,173,9.6,,2
F355,31/3/2001,18/1/2001,201,9.2,,2
F355,31/3/2001,27/1/2001,241,8.4,,2
F355,31/3/2001,15/1/2001,259,8.2,,2
F355,31/3/2001,18/2/2002,293,7.0,,2
F355,31/3/2001,15/2/2002,321,6.0,,2
F355,16/5/2002,3/3/2002,15,13.2,,3
F355,16/5/2002,27/2/2002,42,17.2,,3
F355,16/5/2002,25/2/2002,70,20.4,,3
F355,16/5/2002,27/2/2002,103,17.4,,3
F355,16/5/2002,9/11/2002,118,16.0,,3
F355,16/5/2002,10/11/2002,148,14.0,,3
F355,16/5/2002,11/12/2002,180,12.2,,3
F355,7/4/2003,20/3/2003,47,14.6,,4
F355,7/4/2003,9/11/2003,69,18.4,,4
F355,7/4/2003,10/1/2003,89,19.0,,4
F355,7/4/2003,25/3/2003,144,15.4,,4
F355,7/4/2003,16/3/2003,165,16.0,,4
F355,7/4/2003,1/9/2004,189,15.2,,4
F355,7/4/2003,29/4/2004,209,16.0,,4
F355,7/4/2003,27/4/2004,238,14.0,,4
F355,7/4/2003,1/5/2004,271,12.2,,4
F355,13/12/2004,1/5/2004,18,14.2,,5
F355,13/12/2004,31/5/2005,49,14.4,,5
F355,13/12/2004,15/5/2005,64,17.4,,5
F355,13/12/2004,31/5/2005,108,15.2,,5
F355,13/12/2004,15/5/2005,123,16.6,,5
